ぜんこくNo.,名前,フォルム,英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,特性1,特性2,夢特性
230,キングドラ,,Kingdra,みず,ドラゴン,75,95,95,95,95,85,すいすい,スナイパー,*しめりけ
231,ゴマゾウ,,Phanpy,じめん,,90,60,60,40,40,40,ものひろい,,*すながくれ
232,ドンファン,,Donphan,じめん,,90,120,120,60,60,50,がんじょう,,*すながくれ
233,ポリゴン2,,Porygon2,ノーマル,,85,80,90,105,95,60,トレース,ダウンロード,*アナライズ
234,オドシシ,,Stantler,ノーマル,,73,95,62,85,65,85,いかく,おみとおし,*そうしょく
235,ドーブル,,Smeargle,ノーマル,,55,20,35,20,45,75,マイペース,テクニシャン,*ムラっけ
236,バルキー,,Tyrogue,かくとう,,35,35,35,35,35,35,こんじょう,ふくつのこころ,*やるき
237,カポエラー,,Hitmontop,かくとう,,50,95,95,35,110,70,いかく,テクニシャン,*ふくつのこころ
238,ムチュール,,Smoochum,こおり,エスパー,45,30,15,85,65,65,どんかん,よちむ,*うるおいボディ
239,エレキッド,,Elekid,でんき,,45,63,37,65,55,95,せいでんき,,*やるき
240,ブビィ,,Magby,ほのお,,45,75,37,70,55,83,ほのおのからだ,,*やるき
241,ミルタンク,,Miltank,ノーマル,,95,80,105,40,70,100,あついしぼう,きもったま,*そうしょく
242,ハピナス,,Blissey,ノーマル,,255,10,10,75,135,55,しぜんかいふく,てんのめぐみ,*いやしのこころ
243,ライコウ,,Raikou,でんき,,90,85,75,115,100,115,プレッシャー,,*せいしんりょく
244,エンテイ,,Entei,ほのお,,115,115,85,90,75,100,プレッシャー,,*せいしんりょく
245,スイクン,,Suicune,みず,,100,75,115,90,115,85,プレッシャー,,*せいしんりょく
246,ヨーギラス,,Larvitar,いわ,じめん,50,64,50,45,50,41,こんじょう,,*すながくれ
247,サナギラス,,Pupitar,いわ,じめん,70,84,70,65,70,51,だっぴ,,
248,バンギラス,,Tyranitar,いわ,あく,100,134,110,95,100,61,すなおこし,,*きんちょうかん
249,ルギア,,Lugia,エスパー,ひこう,106,90,130,90,154,110,プレッシャー,,*マルチスケイル
250,ホウオウ,,Ho-Oh,ほのお,ひこう,106,130,90,110,154,90,プレッシャー,,*さいせいりょく
251,セレビィ,,Celebi,エスパー,くさ,100,100,100,100,100,100,しぜんかいふく,,
252,キモリ,,Treecko,くさ,,40,45,35,65,55,70,しんりょく,,*かるわざ
253,ジュプトル,,Grovyle,くさ,,50,65,45,85,65,95,しんりょく,,*かるわざ
254,ジュカイン,,Sceptile,くさ,,70,85,65,105,85,120,しんりょく,,*かるわざ
255,アチャモ,,Torchic,ほのお,,45,60,40,70,50,45,もうか,,*かそく
256,ワカシャモ,,Combusken,ほのお,かくとう,60,85,60,85,60,55,もうか,,*かそく
257,バシャーモ,,Blaziken,ほのお,かくとう,80,120,70,110,70,80,もうか,,*かそく
258,ミズゴロウ,,Mudkip,みず,,50,70,50,50,50,40,げきりゅう,,*しめりけ
259,ヌマクロー,,Marshtomp,みず,じめん,70,85,70,60,70,50,げきりゅう,,*しめりけ
260,ラグラージ,,Swampert,みず,じめん,100,110,90,85,90,60,げきりゅう,,*しめりけ
261,ポチエナ,,Poochyena,あく,,35,55,35,30,30,35,にげあし,はやあし,*びびり
262,グラエナ,,Mightyena,あく,,70,90,70,60,60,70,いかく,はやあし,*じしんかじょう
263,ジグザグマ,通常,Zigzagoon,ノーマル,,38,30,41,30,41,60,ものひろい,くいしんぼう,*はやあし
263,ジグザグマ,ガラルのすがた,Zigzagoon,あく,ノーマル,38,30,41,30,41,60,ものひろい,くいしんぼう,*はやあし
264,マッスグマ,ガラルのすがた,Linoone,あく,ノーマル,78,70,61,50,61,100,ものひろい,くいしんぼう,*はやあし
264,マッスグマ,通常,Linoone,ノーマル,,78,70,61,50,61,100,ものひろい,くいしんぼう,*はやあし
265,ケムッソ,,Wurmple,むし,,45,45,35,20,30,20,りんぷん,,*にげあし
266,カラサリス,,Silcoon,むし,,50,35,55,25,25,15,だっぴ,,
267,アゲハント,,Beautifly,むし,ひこう,60,70,50,100,50,65,むしのしらせ,,*とうそうしん
268,マユルド,,Cascoon,むし,,50,35,55,25,25,15,だっぴ,,
269,ドクケイル,,Dustox,むし,どく,60,50,70,50,90,65,りんぷん,,*ふくがん
270,ハスボー,,Lotad,みず,くさ,40,30,30,40,50,30,すいすい,あめうけざら,*マイペース
271,ハスブレロ,,Lombre,みず,くさ,60,50,50,60,70,50,すいすい,あめうけざら,*マイペース
272,ルンパッパ,,Ludicolo,みず,くさ,80,70,70,90,100,70,すいすい,あめうけざら,*マイペース
273,タネボー,,Seedot,くさ,,40,40,50,30,30,30,ようりょくそ,はやおき,*わるいてぐせ
274,コノハナ,,Nuzleaf,くさ,あく,70,70,40,60,40,60,ようりょくそ,はやおき,*わるいてぐせ
275,ダーテング,,Shiftry,くさ,あく,90,100,60,90,60,80,ようりょくそ,はやおき,*わるいてぐせ
276,スバメ,,Taillow,ノーマル,ひこう,40,55,30,30,30,85,こんじょう,,*きもったま
277,オオスバメ,,Swellow,ノーマル,ひこう,60,85,60,75,50,125,こんじょう,,*きもったま
278,キャモメ,,Wingull,みず,ひこう,40,30,30,55,30,85,するどいめ,うるおいボディ,*あめうけざら
279,ペリッパー,,Pelipper,みず,ひこう,60,50,100,95,70,65,するどいめ,あめふらし,*あめうけざら
280,ラルトス,,Ralts,エスパー,フェアリー,28,25,25,45,35,40,シンクロ,トレース,*テレパシー
281,キルリア,,Kirlia,エスパー,フェアリー,38,35,35,65,55,50,シンクロ,トレース,*テレパシー
282,サーナイト,,Gardevoir,エスパー,フェアリー,68,65,65,125,115,80,シンクロ,トレース,*テレパシー
283,アメタマ,,Surskit,むし,みず,40,30,32,50,52,65,すいすい,,*あめうけざら
284,アメモース,,Masquerain,むし,ひこう,70,60,62,100,82,80,いかく,,*きんちょうかん
285,キノココ,,Shroomish,くさ,,60,40,60,40,60,35,ほうし,ポイズンヒール,*はやあし
286,キノガッサ,,Breloom,くさ,かくとう,60,130,80,60,60,70,ほうし,ポイズンヒール,*テクニシャン
287,ナマケロ,,Slakoth,ノーマル,,60,60,60,35,35,30,なまけ,,
288,ヤルキモノ,,Vigoroth,ノーマル,,80,80,80,55,55,90,やるき,,
289,ケッキング,,Slaking,ノーマル,,150,160,100,95,65,100,なまけ,,
290,ツチニン,,Nincada,むし,じめん,31,45,90,30,30,40,ふくがん,,*にげあし
291,テッカニン,,Ninjask,むし,ひこう,61,90,45,50,50,160,かそく,,*すりぬけ
292,ヌケニン,,Shedinja,むし,ゴースト,1,90,45,30,30,40,ふしぎなまもり,,
293,ゴニョニョ,,Whismur,ノーマル,,64,51,23,51,23,28,ぼうおん,,*びびり
294,ドゴーム,,Loudred,ノーマル,,84,71,43,71,43,48,ぼうおん,,*きもったま
295,バクオング,,Exploud,ノーマル,,104,91,63,91,73,68,ぼうおん,,*きもったま
296,マクノシタ,,Makuhita,かくとう,,72,60,30,20,30,25,あついしぼう,こんじょう,*ちからずく
297,ハリテヤマ,,Hariyama,かくとう,,144,120,60,40,60,50,あついしぼう,こんじょう,*ちからずく
298,ルリリ,,Azurill,ノーマル,フェアリー,50,20,40,20,40,20,あついしぼう,ちからもち,*そうしょく
299,ノズパス,,Nosepass,いわ,,30,45,135,45,90,30,がんじょう,じりょく,*すなのちから
300,エネコ,,Skitty,ノーマル,,50,45,45,35,35,50,メロメロボディ,ノーマルスキン,*ミラクルスキン
301,エネコロロ,,Delcatty,ノーマル,,70,65,65,55,55,90,メロメロボディ,ノーマルスキン,*ミラクルスキン
302,ヤミラミ,,Sableye,あく,ゴースト,50,75,75,65,65,50,するどいめ,あとだし,*いたずらごころ
303,クチート,,Mawile,はがね,フェアリー,50,85,85,55,55,50,かいりきバサミ,いかく,*ちからずく
304,ココドラ,,Aron,はがね,いわ,50,70,100,40,40,30,がんじょう,いしあたま,*ヘヴィメタル
305,コドラ,,Lairon,はがね,いわ,60,90,140,50,50,40,がんじょう,いしあたま,*ヘヴィメタル
306,ボスゴドラ,,Aggron,はがね,いわ,70,110,180,60,60,50,がんじょう,いしあたま,*ヘヴィメタル
307,アサナン,,Meditite,かくとう,エスパー,30,40,55,40,55,60,ヨガパワー,,*テレパシー
308,チャーレム,,Medicham,かくとう,エスパー,60,60,75,60,75,80,ヨガパワー,,*テレパシー
309,ラクライ,,Electrike,でんき,,40,45,40,65,40,65,せいでんき,ひらいしん,*マイナス
310,ライボルト,,Manectric,でんき,,70,75,60,105,60,105,せいでんき,ひらいしん,*マイナス
311,プラスル,,Plusle,でんき,,60,50,40,85,75,95,プラス,,*ひらいしん
312,マイナン,,Minun,でんき,,60,40,50,75,85,95,マイナス,,*ちくでん
313,バルビート,,Volbeat,むし,,65,73,75,47,85,85,はっこう,むしのしらせ,*いたずらごころ
314,イルミーゼ,,Illumise,むし,,65,47,75,73,85,85,どんかん,いろめがね,*いたずらごころ
315,ロゼリア,,Roselia,くさ,どく,50,60,45,100,80,65,しぜんかいふく,どくのトゲ,*リーフガード
316,ゴクリン,,Gulpin,どく,,70,43,53,43,53,40,ヘドロえき,ねんちゃく,*くいしんぼう
317,マルノーム,,Swalot,どく,,100,73,83,73,83,55,ヘドロえき,ねんちゃく,*くいしんぼう
318,キバニア,,Carvanha,みず,あく,45,90,20,65,20,65,さめはだ,,*かそく
319,サメハダー,,Sharpedo,みず,あく,70,120,40,95,40,95,さめはだ,,*かそく
320,ホエルコ,,Wailmer,みず,,130,70,35,70,35,60,みずのベール,どんかん,*プレッシャー
321,ホエルオー,,Wailord,みず,,170,90,45,90,45,60,みずのベール,どんかん,*プレッシャー
322,ドンメル,,Numel,ほのお,じめん,60,60,40,65,45,35,どんかん,たんじゅん,*マイペース
323,バクーダ,,Camerupt,ほのお,じめん,70,100,70,105,75,40,マグマのよろい,ハードロック,*いかりのつぼ
324,コータス,,Torkoal,ほのお,,70,85,140,85,70,20,しろいけむり,ひでり,*シェルアーマー
325,バネブー,,Spoink,エスパー,,60,25,35,70,80,60,あついしぼう,マイペース,*くいしんぼう
326,ブーピッグ,,Grumpig,エスパー,,80,45,65,90,110,80,あついしぼう,マイペース,*くいしんぼう
327,パッチール,,Spinda,ノーマル,,60,60,60,60,60,60,マイペース,ちどりあし,*あまのじゃく
328,ナックラー,,Trapinch,じめん,,45,100,45,45,45,10,かいりきバサミ,ありじごく,*ちからずく
329,ビブラーバ,,Vibrava,じめん,ドラゴン,50,70,50,50,50,70,ふゆう,,
330,フライゴン,,Flygon,じめん,ドラゴン,80,100,80,80,80,100,ふゆう,,
331,サボネア,,Cacnea,くさ,,50,85,40,85,40,35,すながくれ,,*ちょすい
332,ノクタス,,Cacturne,くさ,あく,70,115,60,115,60,55,すながくれ,,*ちょすい
333,チルット,,Swablu,ノーマル,ひこう,45,40,60,40,75,50,しぜんかいふく,,*ノーてんき
334,チルタリス,,Altaria,ドラゴン,ひこう,75,70,90,70,105,80,しぜんかいふく,,*ノーてんき
335,ザングース,,Zangoose,ノーマル,,73,115,60,60,60,90,めんえき,,*どくぼうそう
336,ハブネーク,,Seviper,どく,,73,100,60,100,60,65,だっぴ,,*すりぬけ
337,ルナトーン,,Lunatone,いわ,エスパー,90,55,65,95,85,70,ふゆう,,
338,ソルロック,,Solrock,いわ,エスパー,90,95,85,55,65,70,ふゆう,,
339,ドジョッチ,,Barboach,みず,じめん,50,48,43,46,41,60,どんかん,きけんよち,*うるおいボディ
340,ナマズン,,Whiscash,みず,じめん,110,78,73,76,71,60,どんかん,きけんよち,*うるおいボディ
341,ヘイガニ,,Corphish,みず,,43,80,65,50,35,35,かいりきバサミ,シェルアーマー,*てきおうりょく
342,シザリガー,,Crawdaunt,みず,あく,63,120,85,90,55,55,かいりきバサミ,シェルアーマー,*てきおうりょく
343,ヤジロン,,Baltoy,じめん,エスパー,40,40,55,40,70,55,ふゆう,,
344,ネンドール,,Claydol,じめん,エスパー,60,70,105,70,120,75,ふゆう,,
345,リリーラ,,Lileep,いわ,くさ,66,41,77,61,87,23,きゅうばん,,*よびみず
346,ユレイドル,,Cradily,いわ,くさ,86,81,97,81,107,43,きゅうばん,,*よびみず
347,アノプス,,Anorith,いわ,むし,45,95,50,40,50,75,カブトアーマー,,*すいすい
348,アーマルド,,Armaldo,いわ,むし,75,125,100,70,80,45,カブトアーマー,,*すいすい
349,ヒンバス,,Feebas,みず,,20,15,20,10,55,80,すいすい,どんかん,*てきおうりょく
350,ミロカロス,,Milotic,みず,,95,60,79,100,125,81,ふしぎなうろこ,かちき,*メロメロボディ
351,ポワルン,,Castform,ノーマル,,70,70,70,70,70,70,てんきや,,
352,カクレオン,,Kecleon,ノーマル,,60,90,70,60,120,40,へんしょく,,*へんげんじざい
353,カゲボウズ,,Shuppet,ゴースト,,44,75,35,63,33,45,ふみん,おみとおし,*のろわれボディ
354,ジュペッタ,,Banette,ゴースト,,64,115,65,83,63,65,ふみん,おみとおし,*のろわれボディ
355,ヨマワル,,Duskull,ゴースト,,20,40,90,30,90,25,ふゆう,,*おみとおし
356,サマヨール,,Dusclops,ゴースト,,40,70,130,60,130,25,プレッシャー,,*おみとおし
357,トロピウス,,Tropius,くさ,ひこう,99,68,83,72,87,51,ようりょくそ,サンパワー,*しゅうかく
358,チリーン,,Chimecho,エスパー,,75,50,80,95,90,65,ふゆう,,
359,アブソル,,Absol,あく,,65,130,60,75,60,75,プレッシャー,きょううん,*せいぎのこころ
360,ソーナノ,,Wynaut,エスパー,,95,23,48,23,48,23,かげふみ,,*テレパシー
361,ユキワラシ,,Snorunt,こおり,,50,50,50,50,50,50,せいしんりょく,アイスボディ,*ムラっけ
362,オニゴーリ,,Glalie,こおり,,80,80,80,80,80,80,せいしんりょく,アイスボディ,*ムラっけ
363,タマザラシ,,Spheal,こおり,みず,70,40,50,55,50,25,あついしぼう,アイスボディ,*どんかん
364,トドグラー,,Sealeo,こおり,みず,90,60,70,75,70,45,あついしぼう,アイスボディ,*どんかん
365,トドゼルガ,,Walrein,こおり,みず,110,80,90,95,90,65,あついしぼう,アイスボディ,*どんかん
366,パールル,,Clamperl,みず,,35,64,85,74,55,32,シェルアーマー,,*びびり
367,ハンテール,,Huntail,みず,,55,104,105,94,75,52,すいすい,,*みずのベール
368,サクラビス,,Gorebyss,みず,,55,84,105,114,75,52,すいすい,,*うるおいボディ
369,ジーランス,,Relicanth,みず,いわ,100,90,130,45,65,55,すいすい,いしあたま,*がんじょう
370,ラブカス,,Luvdisc,みず,,43,30,55,40,65,97,すいすい,,*うるおいボディ
371,タツベイ,,Bagon,ドラゴン,,45,75,60,40,30,50,いしあたま,,*ちからずく
372,コモルー,,Shelgon,ドラゴン,,65,95,100,60,50,50,いしあたま,,*ぼうじん
373,ボーマンダ,,Salamence,ドラゴン,ひこう,95,135,80,110,80,100,いかく,,*じしんかじょう
374,ダンバル,,Beldum,はがね,エスパー,40,55,80,35,60,30,クリアボディ,,*ライトメタル
375,メタング,,Metang,はがね,エスパー,60,75,100,55,80,50,クリアボディ,,*ライトメタル
376,メタグロス,,Metagross,はがね,エスパー,80,135,130,95,90,70,クリアボディ,,*ライトメタル
377,レジロック,,Regirock,いわ,,80,100,200,50,100,50,クリアボディ,,*がんじょう
378,レジアイス,,Regice,こおり,,80,50,100,100,200,50,クリアボディ,,*アイスボディ
379,レジスチル,,Registeel,はがね,,80,75,150,75,150,50,クリアボディ,,*ライトメタル
380,ラティアス,,Latias,ドラゴン,エスパー,80,80,90,110,130,110,ふゆう,,
381,ラティオス,,Latios,ドラゴン,エスパー,80,90,80,130,110,110,ふゆう,,
382,カイオーガ,,Kyogre,みず,,100,100,90,150,140,90,あめふらし,,
383,グラードン,,Groudon,じめん,,100,150,140,100,90,90,ひでり,,
384,レックウザ,,Rayquaza,ドラゴン,ひこう,105,150,90,150,90,95,エアロック,,
385,ジラーチ,,Jirachi,はがね,エスパー,100,100,100,100,100,100,てんのめぐみ,,
386,デオキシス,アタックフォルム,Deoxys,エスパー,,50,180,20,180,20,150,プレッシャー,,
386,デオキシス,ノーマルフォルム,Deoxys,エスパー,,50,150,50,150,50,150,プレッシャー,,
386,デオキシス,ディフェンスフォルム,Deoxys,エスパー,,50,70,160,70,160,90,プレッシャー,,
386,デオキシス,スピードフォルム,Deoxys,エスパー,,50,95,90,95,90,180,プレッシャー,,
387,ナエトル,,Turtwig,くさ,,55,68,64,45,55,31,しんりょく,,*シェルアーマー
388,ハヤシガメ,,Grotle,くさ,,75,89,85,55,65,36,しんりょく,,*シェルアーマー
389,ドダイトス,,Torterra,くさ,じめん,95,109,105,75,85,56,しんりょく,,*シェルアーマー
390,ヒコザル,,Chimchar,ほのお,,44,58,44,58,44,61,もうか,,*てつのこぶし
391,モウカザル,,Monferno,ほのお,かくとう,64,78,52,78,52,81,もうか,,*てつのこぶし
392,ゴウカザル,,Infernape,ほのお,かくとう,76,104,71,104,71,108,もうか,,*てつのこぶし
393,ポッチャマ,,Piplup,みず,,53,51,53,61,56,40,げきりゅう,,*まけんき
394,ポッタイシ,,Prinplup,みず,,64,66,68,81,76,50,げきりゅう,,*まけんき
395,エンペルト,,Empoleon,みず,はがね,84,86,88,111,101,60,げきりゅう,,*まけんき
396,ムックル,,Starly,ノーマル,ひこう,40,55,30,30,30,60,するどいめ,,*すてみ
397,ムクバード,,Staravia,ノーマル,ひこう,55,75,50,40,40,80,いかく,,*すてみ
398,ムクホーク,,Staraptor,ノーマル,ひこう,85,120,70,50,60,100,いかく,,*すてみ
399,ビッパ,,Bidoof,ノーマル,,59,45,40,35,40,31,たんじゅん,てんねん,*ムラっけ
400,ビーダル,,Bibarel,ノーマル,みず,79,85,60,55,60,71,たんじゅん,てんねん,*ムラっけ
401,コロボーシ,,Kricketot,むし,,37,25,41,25,41,25,だっぴ,,*にげあし
402,コロトック,,Kricketune,むし,,77,85,51,55,51,65,むしのしらせ,,*テクニシャン
403,コリンク,,Shinx,でんき,,45,65,34,40,34,45,とうそうしん,いかく,*こんじょう
404,ルクシオ,,Luxio,でんき,,60,85,49,60,49,60,とうそうしん,いかく,*こんじょう
405,レントラー,,Luxray,でんき,,80,120,79,95,79,70,とうそうしん,いかく,*こんじょう
406,スボミー,,Budew,くさ,どく,40,30,35,50,70,55,しぜんかいふく,どくのトゲ,*リーフガード
407,ロズレイド,,Roserade,くさ,どく,60,70,65,125,105,90,しぜんかいふく,どくのトゲ,*テクニシャン
408,ズガイドス,,Cranidos,いわ,,67,125,40,30,30,58,かたやぶり,,*ちからずく
409,ラムパルド,,Rampardos,いわ,,97,165,60,65,50,58,かたやぶり,,*ちからずく
410,タテトプス,,Shieldon,いわ,はがね,30,42,118,42,88,30,がんじょう,,*ぼうおん
411,トリデプス,,Bastiodon,いわ,はがね,60,52,168,47,138,30,がんじょう,,*ぼうおん
412,ミノムッチ,,Burmy,むし,,40,29,45,29,45,36,だっぴ,,*ぼうじん
413,ミノマダム,すなちのミノ,Wormadam,むし,じめん,60,79,105,59,85,36,きけんよち,,*ぼうじん
413,ミノマダム,ゴミのミノ,Wormadam,むし,はがね,60,69,95,69,95,36,きけんよち,,*ぼうじん
413,ミノマダム,くさきのミノ,Wormadam,むし,くさ,60,59,85,79,105,36,きけんよち,,*ぼうじん
414,ガーメイル,,Mothim,むし,ひこう,70,94,50,94,50,66,むしのしらせ,,*いろめがね
415,ミツハニー,,Combee,むし,ひこう,30,30,42,30,42,70,みつあつめ,,*はりきり
416,ビークイン,,Vespiquen,むし,ひこう,70,80,102,80,102,40,プレッシャー,,*きんちょうかん
417,パチリス,,Pachirisu,でんき,,60,45,70,45,90,95,にげあし,ものひろい,*ちくでん
418,ブイゼル,,Buizel,みず,,55,65,35,60,30,85,すいすい,,*みずのベール
419,フローゼル,,Floatzel,みず,,85,105,55,85,50,115,すいすい,,*みずのベール
420,チェリンボ,,Cherubi,くさ,,45,35,45,62,53,35,ようりょくそ,,
421,チェリム,,Cherrim,くさ,,70,60,70,87,78,85,フラワーギフト,,
422,カラナクシ,,Shellos,みず,,76,48,48,57,62,34,ねんちゃく,よびみず,*すなのちから
423,トリトドン,,Gastrodon,みず,じめん,111,83,68,92,82,39,ねんちゃく,よびみず,*すなのちから
424,エテボース,,Ambipom,ノーマル,,75,100,66,60,66,115,テクニシャン,ものひろい,*スキルリンク
425,フワンテ,,Drifloon,ゴースト,ひこう,90,50,34,60,44,70,ゆうばく,かるわざ,*ねつぼうそう
426,フワライド,,Drifblim,ゴースト,ひこう,150,80,44,90,54,80,ゆうばく,かるわざ,*ねつぼうそう
427,ミミロル,,Buneary,ノーマル,,55,66,44,44,56,85,にげあし,ぶきよう,*じゅうなん
428,ミミロップ,,Lopunny,ノーマル,,65,76,84,54,96,105,メロメロボディ,ぶきよう,*じゅうなん
429,ムウマージ,,Mismagius,ゴースト,,60,60,60,105,105,105,ふゆう,,
430,ドンカラス,,Honchkrow,あく,ひこう,100,125,52,105,52,71,ふみん,きょううん,*じしんかじょう
431,ニャルマー,,Glameow,ノーマル,,49,55,42,42,37,85,じゅうなん,マイペース,*するどいめ
432,ブニャット,,Purugly,ノーマル,,71,82,64,64,59,112,あついしぼう,マイペース,*まけんき
433,リーシャン,,Chingling,エスパー,,45,30,50,65,50,45,ふゆう,,
434,スカンプー,,Stunky,どく,あく,63,63,47,41,41,74,あくしゅう,ゆうばく,*するどいめ
435,スカタンク,,Skuntank,どく,あく,103,93,67,71,61,84,あくしゅう,ゆうばく,*するどいめ
436,ドーミラー,,Bronzor,はがね,エスパー,57,24,86,24,86,23,ふゆう,たいねつ,*ヘヴィメタル
437,ドータクン,,Bronzong,はがね,エスパー,67,89,116,79,116,33,ふゆう,たいねつ,*ヘヴィメタル
438,ウソハチ,,Bonsly,いわ,,50,80,95,10,45,10,がんじょう,いしあたま,*びびり
439,マネネ,,Mime Jr.,エスパー,フェアリー,20,25,45,70,90,60,ぼうおん,フィルター,*テクニシャン
440,ピンプク,,Happiny,ノーマル,,100,5,5,15,65,30,しぜんかいふく,てんのめぐみ,*フレンドガード
441,ペラップ,,Chatot,ノーマル,ひこう,76,65,45,92,42,91,するどいめ,ちどりあし,*はとむね
442,ミカルゲ,,Spiritomb,ゴースト,あく,50,92,108,92,108,35,プレッシャー,,*すりぬけ
443,フカマル,,Gible,ドラゴン,じめん,58,70,45,40,45,42,すながくれ,,*さめはだ
444,ガバイト,,Gabite,ドラゴン,じめん,68,90,65,50,55,82,すながくれ,,*さめはだ
445,ガブリアス,,Garchomp,ドラゴン,じめん,108,130,95,80,85,102,すながくれ,,*さめはだ
446,ゴンベ,,Munchlax,ノーマル,,135,85,40,40,85,5,ものひろい,あついしぼう,*くいしんぼう
447,リオル,,Riolu,かくとう,,40,70,40,35,40,60,ふくつのこころ,せいしんりょく,*いたずらごころ
448,ルカリオ,,Lucario,かくとう,はがね,70,110,70,115,70,90,ふくつのこころ,せいしんりょく,*せいぎのこころ
449,ヒポポタス,,Hippopotas,じめん,,68,72,78,38,42,32,すなおこし,,*すなのちから
450,カバルドン,,Hippowdon,じめん,,108,112,118,68,72,47,すなおこし,,*すなのちから
451,スコルピ,,Skorupi,どく,むし,40,50,90,30,55,65,カブトアーマー,スナイパー,*するどいめ
452,ドラピオン,,Drapion,どく,あく,70,90,110,60,75,95,カブトアーマー,スナイパー,*するどいめ
453,グレッグル,,Croagunk,どく,かくとう,48,61,40,61,40,50,きけんよち,かんそうはだ,*どくしゅ
454,ドクロッグ,,Toxicroak,どく,かくとう,83,106,65,86,65,85,きけんよち,かんそうはだ,*どくしゅ
455,マスキッパ,,Carnivine,くさ,,74,100,72,90,72,46,ふゆう,,
456,ケイコウオ,,Finneon,みず,,49,49,56,49,61,66,すいすい,よびみず,*みずのベール
457,ネオラント,,Lumineon,みず,,69,69,76,69,86,91,すいすい,よびみず,*みずのベール
458,タマンタ,,Mantyke,みず,ひこう,45,20,50,60,120,50,すいすい,ちょすい,*みずのベール
459,ユキカブリ,,Snover,くさ,こおり,60,62,50,62,60,40,ゆきふらし,,*ぼうおん
460,ユキノオー,,Abomasnow,くさ,こおり,90,92,75,92,85,60,ゆきふらし,,*ぼうおん
461,マニューラ,,Weavile,あく,こおり,70,120,65,45,85,125,プレッシャー,,*わるいてぐせ
462,ジバコイル,,Magnezone,でんき,はがね,70,70,115,130,90,60,じりょく,がんじょう,*アナライズ
463,ベロベルト,,Lickilicky,ノーマル,,110,85,95,80,95,50,マイペース,どんかん,*ノーてんき
464,ドサイドン,,Rhyperior,じめん,いわ,115,140,130,55,55,40,ひらいしん,ハードロック,*すてみ
465,モジャンボ,,Tangrowth,くさ,,100,100,125,110,50,50,ようりょくそ,リーフガード,*さいせいりょく
466,エレキブル,,Electivire,でんき,,75,123,67,95,85,95,でんきエンジン,,*やるき
467,ブーバーン,,Magmortar,ほのお,,75,95,67,125,95,83,ほのおのからだ,,*やるき
468,トゲキッス,,Togekiss,フェアリー,ひこう,85,50,95,120,115,80,はりきり,てんのめぐみ,*きょううん
470,リーフィア,,Leafeon,くさ,,65,110,130,60,65,95,リーフガード,,*ようりょくそ
471,グレイシア,,Glaceon,こおり,,65,60,110,130,95,65,ゆきがくれ,,*アイスボディ
472,グライオン,,Gliscor,じめん,ひこう,75,95,125,45,75,95,かいりきバサミ,すながくれ,*ポイズンヒール
473,マンムー,,Mamoswine,こおり,じめん,110,130,80,70,60,80,どんかん,ゆきがくれ,*あついしぼう
474,ポリゴンZ,,Porygon-Z,ノーマル,,85,80,70,135,75,90,てきおうりょく,ダウンロード,*アナライズ
475,エルレイド,,Gallade,エスパー,かくとう,68,125,65,65,115,80,ふくつのこころ,,*せいぎのこころ
476,ダイノーズ,,Probopass,いわ,はがね,60,55,145,75,150,40,がんじょう,じりょく,*すなのちから
477,ヨノワール,,Dusknoir,ゴースト,,45,100,135,65,135,45,プレッシャー,,*おみとおし
478,ユキメノコ,,Froslass,こおり,ゴースト,70,80,70,80,70,110,ゆきがくれ,,*のろわれボディ
479,ロトム,カット,Rotom,でんき,くさ,50,65,107,105,107,86,ふゆう,,
479,ロトム,スピン,Rotom,でんき,ひこう,50,65,107,105,107,86,ふゆう,,
479,ロトム,フロスト,Rotom,でんき,こおり,50,65,107,105,107,86,ふゆう,,
479,ロトム,ウォッシュ,Rotom,でんき,みず,50,65,107,105,107,86,ふゆう,,
479,ロトム,ヒート,Rotom,でんき,ほのお,50,65,107,105,107,86,ふゆう,,
479,ロトム,基本,Rotom,でんき,ゴースト,50,50,77,95,77,91,ふゆう,,
480,ユクシー,,Uxie,エスパー,,75,75,130,75,130,95,ふゆう,,
481,エムリット,,Mesprit,エスパー,,80,105,105,105,105,80,ふゆう,,
482,アグノム,,Azelf,エスパー,,75,125,70,125,70,115,ふゆう,,
483,ディアルガ,,Dialga,はがね,ドラゴン,100,120,120,150,100,90,プレッシャー,,*テレパシー
484,パルキア,,Palkia,みず,ドラゴン,90,120,100,150,120,100,プレッシャー,,*テレパシー
485,ヒードラン,,Heatran,ほのお,はがね,91,90,106,130,106,77,もらいび,,*ほのおのからだ
486,レジギガス,,Regigigas,ノーマル,,110,160,110,80,110,100,スロースタート,,
487,ギラティナ,アナザーフォルム,Giratina,ゴースト,ドラゴン,150,100,120,100,120,90,プレッシャー,,*テレパシー
487,ギラティナ,オリジンフォルム,Giratina,ゴースト,ドラゴン,150,120,100,120,100,90,ふゆう,,
488,クレセリア,,Cresselia,エスパー,,120,70,120,75,130,85,ふゆう,,
489,フィオネ,,Phione,みず,,80,80,80,80,80,80,うるおいボディ,,
490,マナフィ,,Manaphy,みず,,100,100,100,100,100,100,うるおいボディ,,
491,ダークライ,,Darkrai,あく,,70,90,90,135,90,125,ナイトメア,,
